experiment_name,best_val_accuracy,best_train_accuracy,final_val_loss,epochs_trained,training_time,rotation,zoom,translation,brightness,contrast,noise
bright30pct_cont40pct,0.5593220591545105,1.0,6.507894039154053,9,107.7171094417572,0.0,0.0,0.0,0.3,0.4,0.0
trans15pct_noise5pct,0.5593220591545105,0.9988541007041931,4.2751288414001465,8,97.14313864707947,0.0,0.0,0.15,0.0,0.0,0.05
trans10pct_bright40pct_noise5pct,0.5593220591545105,1.0,5.83607816696167,10,125.66775059700012,0.0,0.0,0.1,0.4,0.0,0.05
trans15pct_cont30pct_noise5pct,0.5593220591545105,1.0,4.888630390167236,10,125.88209319114685,0.0,0.0,0.15,0.0,0.3,0.05
trans15pct_bright40pct_cont20pct_noise5pct,0.5423728823661804,1.0,4.205090045928955,17,217.09381079673767,0.0,0.0,0.15,0.4,0.2,0.05
bright20pct_noise5pct,0.5423728823661804,1.0,2.4507462978363037,17,197.21855854988098,0.0,0.0,0.0,0.2,0.0,0.05
cont20pct,0.5423728823661804,0.9996180534362793,4.535115718841553,7,82.48190236091614,0.0,0.0,0.0,0.0,0.2,0.0
trans10pct_bright20pct_cont40pct_noise5pct,0.5423728823661804,0.9996180534362793,9.865952491760254,11,143.1628715991974,0.0,0.0,0.1,0.2,0.4,0.05
bright40pct_cont20pct,0.5423728823661804,1.0,2.4404137134552,8,95.519371509552,0.0,0.0,0.0,0.4,0.2,0.0
trans10pct_bright40pct_cont30pct_noise8pct,0.5423728823661804,1.0,5.199677467346191,11,142.77897000312805,0.0,0.0,0.1,0.4,0.3,0.08
trans10pct_cont20pct,0.5423728823661804,1.0,5.866150379180908,9,110.24590349197388,0.0,0.0,0.1,0.0,0.2,0.0
bright40pct,0.5254237055778503,0.9996180534362793,7.075014114379883,10,113.82230615615845,0.0,0.0,0.0,0.4,0.0,0.0
trans10pct_bright40pct_cont30pct,0.5254237055778503,0.9996180534362793,4.019763946533203,9,114.6627471446991,0.0,0.0,0.1,0.4,0.3,0.0
noise5pct,0.5254237055778503,1.0,8.54291820526123,11,123.07841467857361,0.0,0.0,0.0,0.0,0.0,0.05
trans15pct_bright30pct_cont20pct_noise8pct,0.508474588394165,1.0,6.782271385192871,9,118.51671767234802,0.0,0.0,0.15,0.3,0.2,0.08
trans15pct_cont20pct_noise8pct,0.508474588394165,1.0,9.4441499710083,11,137.88069081306458,0.0,0.0,0.15,0.0,0.2,0.08
trans15pct_bright30pct,0.49152541160583496,0.9996180534362793,5.462405681610107,9,110.09175109863281,0.0,0.0,0.15,0.3,0.0,0.0
bright30pct,0.49152541160583496,1.0,2.8229055404663086,11,124.91096115112305,0.0,0.0,0.0,0.3,0.0,0.0
trans10pct,0.49152541160583496,0.9996180534362793,10.934162139892578,8,94.4442298412323,0.0,0.0,0.1,0.0,0.0,0.0
zoom15pct_noise8pct,0.4406779706478119,0.9992360472679138,5.798661708831787,6,75.1114912033081,0.0,0.15,0.0,0.0,0.0,0.08
trans10pct_cont20pct_noise8pct,0.4406779706478119,0.9961802959442139,9.712772369384766,6,77.15971684455872,0.0,0.0,0.1,0.0,0.2,0.08
zoom15pct_cont20pct_noise8pct,0.38983049988746643,0.9973261952400208,13.274271011352539,6,76.05924034118652,0.0,0.15,0.0,0.0,0.2,0.08
